iter	RMSE
0	0.6241404093
1	0.6113401833
2	0.6000440483
3	0.5888249477
4	0.5787377601
5	0.5691126579
6	0.5602362476
7	0.5522139952
8	0.5443080359
9	0.5367755252
10	0.5301461394
11	0.5233451355
12	0.5180568436
13	0.5125429361
14	0.5077047273
15	0.5024169538
16	0.4978326013
17	0.4931367529
18	0.4891867304
19	0.4853309596
20	0.4818239177
21	0.4780319273
22	0.4746831743
23	0.4716465539
24	0.468785154
25	0.4661817413
26	0.4637859173
27	0.461427287
28	0.4591549258
29	0.4569262231
30	0.4549145632
31	0.4530920907
32	0.4510306585
33	0.4493001299
34	0.4474971267
35	0.445969886
36	0.4443642006
37	0.4426838713
38	0.4410845125
39	0.4398599974
40	0.4382924134
41	0.4372923787
42	0.4360774743
43	0.4347362641
44	0.4335575272
45	0.4325347759
46	0.4316274025
47	0.430756693
48	0.4299200999
49	0.4290779789
50	0.4283909666
51	0.4276721611
52	0.4269823094
53	0.4261701165
54	0.4252391529
55	0.4245636997
56	0.424008225
57	0.423131442
58	0.4225666789
59	0.4220470085
60	0.4216184315
61	0.4210393133
62	0.4201314836
63	0.4194993398
64	0.4188573121
65	0.4184503616
66	0.417920045
67	0.41745537
68	0.4169616319
69	0.4166194491
70	0.4161929679
71	0.4156472499
72	0.4152420001
73	0.4149102753
74	0.4143843605
75	0.4140710361
76	0.4137733505
77	0.4133645383
78	0.4130261653
79	0.4127006464
80	0.4124110712
81	0.4121275591
82	0.4118546594
83	0.4112362617
84	0.4109975885
85	0.4106545787
86	0.4103721931
87	0.4101277632
88	0.4096551882
89	0.4094557043
90	0.4091165592
91	0.4089457967
92	0.4087720676
93	0.4085919188
94	0.4083333627
95	0.4079849816
96	0.4077855077
97	0.4073797489
98	0.4071819909
99	0.4067903543
100	0.4066004494
101	0.406456092
102	0.4059425165
103	0.4057337865
104	0.4054464596
105	0.4053022071
106	0.4050985778
107	0.4050107315
108	0.4047155769
109	0.4043776275
110	0.4042567722
111	0.4041155316
112	0.4038817413
113	0.4036007246
114	0.403469169
115	0.4032278348
116	0.4030905652
117	0.4029681413
118	0.4027724544
119	0.4026063864
120	0.4025199447
121	0.4022443531
122	0.401869613
123	0.4017022319
124	0.4015454047
125	0.4014266763
126	0.401303143
127	0.4011973357
128	0.4010179915
129	0.4008798955
130	0.4006987835
131	0.4003116574
132	0.4000758822
133	0.3999220457
134	0.3996316367
135	0.3994845999
136	0.3993260133
137	0.3991474478
138	0.399052065
139	0.3988524984
140	0.3987609101
141	0.3986729058
142	0.398513347
143	0.3981624517
144	0.3977685225
145	0.3976313546
146	0.3975020059
147	0.3970727996
148	0.3967811266
149	0.3965150475
150	0.3962020762
151	0.3961344295
152	0.3958206308
153	0.3956676885
154	0.3953385242
155	0.3950220282
156	0.3946691594
157	0.3945754089
158	0.3943911976
159	0.394203239
160	0.393811636
161	0.3936028417
162	0.3933408778
163	0.3929965947
164	0.3927610267
165	0.392642082
166	0.3924666774
167	0.3920590529
168	0.3918889304
169	0.391745192
170	0.391696386
171	0.3915595804
172	0.3913541927
173	0.3911049856
174	0.390991973
175	0.3908504415
176	0.3907768524
177	0.3904533333
178	0.3901852733
179	0.3900583308
180	0.3897424314
181	0.3896185328
182	0.3894023893
183	0.3891749849
184	0.3888374043
185	0.3886861245
186	0.3882547526
187	0.3880596777
188	0.387838648
189	0.3875742692
190	0.3872915251
191	0.3870797044
192	0.3869344846
193	0.3867266938
194	0.3865722751
195	0.3864010322
196	0.3862720468
197	0.3859677057
198	0.38584181
199	0.3855732927
200	0.385264355
201	0.3850837096
202	0.3849235361
203	0.3845708394
204	0.3844082191
205	0.3841850357
206	0.3840951633
207	0.3840165334
208	0.383931756
209	0.3838611301
210	0.3837648978
211	0.3836211173
212	0.3835034791
213	0.3833990475
214	0.3832881113
215	0.3831586723
216	0.383091118
217	0.3829642751
218	0.3828524743
219	0.3827722087
220	0.3826841516
221	0.382568976
222	0.3822822774
223	0.3822431031
224	0.3820220248
225	0.3818694623
226	0.3817619
227	0.3816904312
228	0.3815995805
229	0.381386343
230	0.3811876882
231	0.3810695287
232	0.3809560126
233	0.3806612781
234	0.3805445318
235	0.3804487727
236	0.3802408202
237	0.3799963308
238	0.3799570945
239	0.3798666802
240	0.3797654343
241	0.3796401344
242	0.3794591526
243	0.3792683003
244	0.37904415
245	0.3789452608
246	0.3788595329
247	0.3785356906
248	0.3782691201
249	0.3779826675
250	0.377785038
251	0.3776754536
252	0.3776482348
253	0.3775294855
254	0.3773858096
255	0.377220494
256	0.3770572694
257	0.3767920914
258	0.3766511803
259	0.3766102329
260	0.3765502815
261	0.3764535518
262	0.3761739417
263	0.3760211576
264	0.3759366915
265	0.3758308605
266	0.375636175
267	0.3754752457
268	0.3753481531
269	0.3751677051
270	0.3751315914
271	0.3750837584
272	0.3749216027
273	0.3748601045
274	0.3747393046
275	0.3745906427
276	0.374563128
277	0.3744412347
278	0.374240217
279	0.3742208334
280	0.3740014423
281	0.3738239635
282	0.3737039518
283	0.373499574
284	0.373293628
285	0.3730102467
286	0.372866398
287	0.3728090428
288	0.3726686305
289	0.372510779
290	0.3723448388
291	0.3720902896
292	0.3719462472
293	0.3717926834
294	0.3716704974
295	0.3714934812
296	0.3713741997
297	0.3712017089
298	0.3711002007
299	0.3709261706
300	0.3707990747
301	0.3706768831
302	0.3705239371
303	0.3704396387
304	0.3702508869
305	0.3700094952
306	0.3699464572
307	0.3697236867
308	0.3696829468
309	0.3696032615
310	0.3694388963
311	0.3693522924
312	0.3692788142
313	0.3691864399
314	0.3691414457
315	0.3689310905
316	0.3687857775
317	0.3687025557
318	0.3685046491
319	0.3683597341
320	0.368224412
321	0.368046171
322	0.3680164985
323	0.3678793124
324	0.3677932755
325	0.3676455177
326	0.3675267527
327	0.3673077763
328	0.3672035999
329	0.3671598305
330	0.3670768038
331	0.3669719576
332	0.3668798946
333	0.3666923902
334	0.3665820679
335	0.3665047628
336	0.3663823177
337	0.3663150062
338	0.3661775041
339	0.3661090869
340	0.365945696
341	0.3657954273
342	0.3657014959
343	0.3655610389
344	0.3654243911
345	0.3652775
346	0.3651878877
347	0.3649981327
348	0.3649705211
349	0.3648297373
350	0.364739867
351	0.3646953539
352	0.3645660085
353	0.3644745175
354	0.3644036629
355	0.3643076535
356	0.3641524436
357	0.3640155004
358	0.3639084233
359	0.3638804069
360	0.3637933374
361	0.3636442821
362	0.3634697777
363	0.3633592818
364	0.3632313117
365	0.3630671743
366	0.3628345312
367	0.3627197538
368	0.3626045488
369	0.3624778598
370	0.3624102952
371	0.3623466128
372	0.3622467698
373	0.3621395789
374	0.3620405221
375	0.3618883337
376	0.3617950037
377	0.3617364686
378	0.3616110214
379	0.3614621203
380	0.3613484629
381	0.3612630773
382	0.3611550816
383	0.3609592513
384	0.3609007612
385	0.3608378307
386	0.3607742909
387	0.3605585116
388	0.360450317
389	0.3603474839
390	0.3602155966
391	0.3601453076
392	0.3599966795
393	0.3598757226
394	0.3598109277
395	0.3596903236
396	0.359466741
397	0.3593622127
398	0.3592343648
399	0.3591225568
400	0.3589972589
401	0.358904403
402	0.3587875679
403	0.3586824937
404	0.3585806147
405	0.3584930119
406	0.3584167421
407	0.3582429585
408	0.3581799931
409	0.3580514856
410	0.3579392597
411	0.357840275
412	0.3577130592
413	0.3575465245
414	0.357472472
415	0.357396867
416	0.3571892089
417	0.357107145
418	0.3570182602
419	0.3568009082
420	0.3566879577
421	0.3565979216
422	0.3565629562
423	0.3564673866
424	0.3563991911
425	0.3562891904
426	0.3562036278
427	0.3560559813
428	0.3559935103
429	0.3559181557
430	0.3558642505
431	0.3557819656
432	0.3557164097
433	0.3556263223
434	0.3555699549
435	0.3554602499
436	0.3554028129
437	0.3553719235
438	0.3553009096
439	0.3552273756
440	0.3551435115
441	0.3550780263
442	0.354928977
443	0.3548294531
444	0.35468415
445	0.3545128767
446	0.3544171779
447	0.3543618953
448	0.3541845819
449	0.3540749499
450	0.3540070007
451	0.3539480393
452	0.3538669918
453	0.353800094
454	0.3537126601
455	0.3536312224
456	0.3535735977
457	0.3535248521
458	0.353287675
459	0.3532058855
460	0.3531037339
461	0.3530143467
462	0.3529011934
463	0.3527370604
464	0.3526847928
465	0.3526096233
466	0.3524676161
467	0.3523675048
468	0.3522727957
469	0.3521353538
470	0.3520761796
471	0.3520101814
472	0.351895305
473	0.3518224766
474	0.3517384024
475	0.3517014065
476	0.3515906458
477	0.3515036276
478	0.351442519
479	0.3513770044
480	0.3513407461
481	0.3512391238
482	0.3511686661
483	0.3510121691
484	0.3509398958
485	0.350886268
486	0.3507586539
487	0.3506739795
488	0.3506462716
489	0.3505787003
490	0.3503722521
491	0.3503170642
492	0.3502532255
493	0.3501665959
494	0.3500959984
495	0.3499951996
496	0.3499374197
497	0.3497890637
498	0.3497372234
499	0.3497153854
