"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"537",8,2,True,2,False,False,False,False
"698",1,4,True,4,False,False,False,False
"26375",2,2,True,2,False,False,False,False
"697",1,3,True,3,False,False,False,False
"198",1,4,True,4,False,False,False,False
"21",1,3,False,1,False,False,False,False
"28499",1,2,False,2,False,False,False,False
"26718",1,3,True,3,False,False,False,False
"5161",1,5,False,5,False,False,False,False
"29",1,2,False,2,False,False,False,False
"30",1,2,False,2,False,False,False,False
"31",1,2,False,2,False,False,False,False
"32",5,4,False,4,False,False,False,False
"74",6,5,False,5,False,False,False,False
"532",3,3,False,3,False,False,False,False
"10936",1,1,False,1,False,False,False,False
"39977",1,2,False,2,False,False,False,False
"17728",1,2,True,2,False,False,False,False
"26374",1,1,False,1,False,False,False,False
"50040",1,2,False,2,False,False,False,False
"27550",1,3,False,3,False,False,False,False
"15960",1,2,True,2,False,False,False,False
"13954",1,3,False,3,False,False,False,False
"76184",1,2,False,2,False,False,False,False
"5124",1,2,True,2,False,False,False,False
"48478",1,12,False,12,False,False,False,False
"50944",1,2,True,2,False,False,False,False
"27036",2,3,True,3,False,False,False,False
"13389",1,5,True,5,False,False,False,False
"33",3,3,False,2,False,False,False,False
"34",5,2,False,2,False,False,False,False
"9724",1,4,True,4,False,False,False,False
"35",2,4,False,2,False,False,False,False
"36",1,1,False,1,False,False,False,False
"37",1,2,False,1,False,False,False,False
"38",1,3,False,1,False,False,False,False
"39",1,4,False,1,False,False,False,False
"40",1,1,False,1,False,False,False,False
"41",1,1,False,1,False,False,False,False
"42",1,2,False,2,False,False,False,False
"26526",1,2,False,2,False,False,False,False
"71685",2,4,True,4,False,False,False,False
"58",1,2,False,2,False,False,False,False
"255",6,2,False,2,False,False,False,False
"59",1,2,False,2,False,False,False,False
"5018",5,2,False,2,False,False,False,False
"61",4,2,False,2,False,False,False,False
"53",1,2,False,2,False,False,False,False
"7574",1,2,True,2,False,False,False,False
"7576",2,2,False,2,False,False,False,False
"66",1,2,True,2,False,False,False,False
"67",1,3,True,3,False,False,False,False
"68",1,3,True,3,False,False,False,False
"69",1,3,True,3,False,False,False,False
"70",1,3,True,3,False,False,False,False
"71",1,2,True,2,False,False,False,False
"72",7,2,False,2,False,False,False,False
"73",1,3,False,3,False,False,False,False
"64",7,2,False,2,False,False,False,False
"77",1,2,False,1,False,False,False,False
"79",1,3,False,1,False,False,False,False
"28561",1,2,True,2,False,False,False,False
"19392",1,6,True,6,False,False,False,False
"80",1,1,False,1,False,False,False,False
"81",1,2,False,1,False,False,False,False
"86",5,1,False,1,False,False,False,False
"87",5,4,False,4,False,False,False,False
"88",5,2,False,2,False,False,False,False
"89",5,2,False,2,False,False,False,False
"90",1,100,True,100,False,False,False,False
"91",1,4,False,1,False,False,False,False
"92",1,2,False,1,False,False,False,False
"93",1,6,False,1,False,False,False,False
"94",1,4,False,1,False,False,False,False
"95",1,4,False,1,False,False,False,False
"96",1,6,False,1,False,False,False,False
"60",1,2,False,2,False,False,False,False
"97",1,4,False,1,False,False,False,False
"6341",1,6,True,6,False,False,False,False
"98",1,6,False,1,False,False,False,False
"10481",1,2,False,2,False,False,False,False
"99",1,4,False,1,False,False,False,False
"100",1,4,False,1,False,False,False,False
"101",1,2,False,2,False,False,False,False
"102",1,4,False,4,False,False,False,False
"103",1,2,False,2,False,False,False,False
"104",1,5,False,5,False,False,False,False
"105",1,5,False,5,False,False,False,False
"106",1,4,False,4,False,False,False,False
"107",1,4,False,4,False,False,False,False
"109",1,6,True,6,False,False,False,False
"130",1,2,True,2,False,False,False,False
"5457",5,3,True,3,False,False,False,False
"28471",1,1,False,1,False,False,False,False
"16215",1,3,False,3,False,False,False,False
"24290",1,4,True,4,False,False,False,False
"41448",7,2,False,2,False,False,False,False
"140",1,4,False,4,False,False,False,False
"141",2,6,False,6,False,False,False,False
"142",2,3,False,3,False,False,False,False
"34233",1,6,False,6,False,False,False,False
"56032",1,4,True,2,False,False,False,False
"67955",1,4,False,4,False,False,False,False
"10996",1,2,False,2,False,False,False,False
"18957",1,2,False,2,False,False,False,False
"145",2,2,False,2,False,False,False,False
"156",1,2,False,1,False,False,False,False
"157",1,2,False,1,False,False,False,False
"146",1,2,False,1,False,False,False,False
"147",1,10,False,1,False,False,False,False
"8297",1,3,False,2,False,False,False,False
"148",1,2,False,1,False,False,False,False
"149",1,2,False,1,False,False,False,False
"150",1,4,False,1,False,False,False,False
"151",1,4,False,1,False,False,False,False
"152",1,2,False,1,False,False,False,False
"153",1,4,False,1,False,False,False,False
"154",1,4,False,1,False,False,False,False
"155",1,17,False,1,False,False,False,False
"158",3,2,True,2,False,False,False,False
"12802",1,2,False,2,False,False,False,False
"13955",1,3,False,3,False,False,False,False
"38913",1,2,False,2,False,False,False,False
