admin_id,booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
grid_0,0.0,0.0,0.0,0.0,1427.0
grid_1,0.0,0.0,0.0,0.0,1427.0
grid_2,0.0,0.0,0.0,0.0,1427.0
grid_3,0.0,0.0,0.0,0.0,1427.0
grid_4,0.0,0.0,0.0,0.0,1427.0
grid_5,0.0,0.0,0.0,0.0,1427.0
grid_6,0.0,0.0,0.0,0.0,1427.0
grid_7,0.0,0.0,0.0,0.0,1427.0
grid_8,0.0,0.0,0.0,0.0,1427.0
grid_9,0.0,0.0,0.0,0.0,1427.0
grid_10,0.0,0.0,0.0,0.0,1427.0
grid_11,0.0,0.0,0.0,0.0,1427.0
grid_12,0.0,0.0,0.0,0.0,1427.0
grid_13,0.0,0.0,0.0,0.0,1427.0
grid_14,0.0,0.0,0.0,0.0,1427.0
grid_15,0.0,0.0,0.0,0.0,1427.0
grid_16,0.0,0.0,0.0,0.0,1427.0
grid_17,0.0,0.0,0.0,0.0,1427.0
grid_18,0.0,0.0,0.0,0.0,1427.0
grid_19,0.0,0.0,0.0,0.0,1427.0
grid_20,0.0,0.0,0.0,0.0,1427.0
grid_21,0.0,0.0,0.0,0.0,1427.0
grid_22,0.0,0.0,0.0,0.0,1427.0
grid_23,0.0,0.0,0.0,0.0,1427.0
grid_24,0.0,0.0,0.0,0.0,1427.0
grid_25,0.0,0.0,0.0,0.0,1427.0
grid_26,0.0,0.0,0.0,0.0,1427.0
grid_27,0.0,0.0,0.0,0.0,1427.0
grid_28,0.0,0.0,0.0,0.0,1427.0
grid_29,0.0,0.0,0.0,0.0,1427.0
grid_30,0.0,0.0,0.0,0.0,1427.0
grid_31,0.0,0.0,0.0,0.0,1427.0
grid_32,0.0,0.0,0.0,0.0,1427.0
grid_33,0.0,0.0,0.0,0.0,1427.0
grid_34,0.0,0.0,1.8485538661762805e-278,0.0,1285.0
grid_35,0.0,0.0,4.754865220190159e-217,0.0,1079.0
grid_36,0.0,0.0,1.48306693484313e-163,0.0,892.0
grid_37,0.0,0.0,5.6091846142088885e-118,0.0,703.0
grid_38,0.0,0.0,2.572498654770896e-80,0.0,525.0
grid_39,0.0,0.0,1.4306289826216136e-50,0.0,382.0
grid_40,0.0,0.0,9.647511883207473e-29,0.0,266.0
grid_41,0.0,0.0,7.888965663531606e-15,0.0,156.0
grid_42,121.0,77507.6,7.822422154350608e-09,640.5586776859504,95.0
grid_43,0.0,0.0,9.405434741786029e-11,0.0,114.0
grid_44,0.0,0.0,1.3717173795259713e-20,0.0,202.0
grid_45,0.0,0.0,2.424395364953097e-38,0.0,321.0
grid_46,0.0,0.0,5.197450849162592e-64,0.0,446.0
grid_47,0.0,0.0,1.3511195482298406e-97,0.0,602.0
grid_48,0.0,0.0,4.25905849080216e-139,0.0,785.0
grid_49,0.0,0.0,1.6279830235369002e-188,0.0,980.0
grid_50,0.0,0.0,7.545752906172083e-246,0.0,1182.0
grid_51,0.0,0.0,4.241033744304e-311,0.0,1382.0
grid_52,0.0,0.0,0.0,0.0,1427.0
grid_53,0.0,0.0,0.0,0.0,1427.0
grid_54,0.0,0.0,0.0,0.0,1427.0
grid_55,0.0,0.0,0.0,0.0,1427.0
grid_56,0.0,0.0,0.0,0.0,1427.0
grid_57,0.0,0.0,0.0,0.0,1427.0
grid_58,0.0,0.0,0.0,0.0,1427.0
grid_59,0.0,0.0,0.0,0.0,1427.0
grid_60,0.0,0.0,0.0,0.0,1427.0
grid_61,0.0,0.0,0.0,0.0,1427.0
grid_62,0.0,0.0,0.0,0.0,1427.0
grid_63,0.0,0.0,0.0,0.0,1427.0
grid_64,0.0,0.0,0.0,0.0,1427.0
grid_65,0.0,0.0,0.0,0.0,1427.0
grid_66,0.0,0.0,0.0,0.0,1427.0
grid_67,0.0,0.0,0.0,0.0,1427.0
grid_68,0.0,0.0,0.0,0.0,1427.0
grid_69,0.0,0.0,0.0,0.0,1427.0
grid_70,0.0,0.0,0.0,0.0,1427.0
grid_71,0.0,0.0,0.0,0.0,1427.0
grid_72,0.0,0.0,0.0,0.0,1427.0
grid_73,0.0,0.0,0.0,0.0,1427.0
grid_74,0.0,0.0,0.0,0.0,1427.0
grid_75,0.0,0.0,0.0,0.0,1427.0
grid_76,0.0,0.0,0.0,0.0,1427.0
grid_77,0.0,0.0,0.0,0.0,1427.0
grid_78,0.0,0.0,0.0,0.0,1427.0
grid_79,0.0,0.0,0.0,0.0,1427.0
grid_80,0.0,0.0,0.0,0.0,1427.0
grid_81,0.0,0.0,0.0,0.0,1427.0
grid_82,0.0,0.0,0.0,0.0,1427.0
grid_83,0.0,0.0,0.0,0.0,1427.0
grid_84,0.0,0.0,0.0,0.0,1427.0
grid_85,0.0,0.0,0.0,0.0,1427.0
grid_86,0.0,0.0,0.0,0.0,1427.0
grid_87,0.0,0.0,0.0,0.0,1427.0
grid_88,0.0,0.0,0.0,0.0,1427.0
grid_89,0.0,0.0,0.0,0.0,1427.0
grid_90,0.0,0.0,0.0,0.0,1427.0
grid_91,0.0,0.0,0.0,0.0,1427.0
grid_92,0.0,0.0,0.0,0.0,1427.0
grid_93,0.0,0.0,0.0,0.0,1427.0
grid_94,0.0,0.0,0.0,0.0,1427.0
grid_95,0.0,0.0,0.0,0.0,1427.0
grid_96,0.0,0.0,0.0,0.0,1427.0
grid_97,0.0,0.0,0.0,0.0,1427.0
grid_98,0.0,0.0,0.0,0.0,1427.0
grid_99,0.0,0.0,0.0,0.0,1427.0
grid_100,0.0,0.0,0.0,0.0,1427.0
grid_101,0.0,0.0,0.0,0.0,1427.0
grid_102,0.0,0.0,0.0,0.0,1427.0
grid_103,0.0,0.0,0.0,0.0,1427.0
grid_104,0.0,0.0,0.0,0.0,1427.0
grid_105,0.0,0.0,0.0,0.0,1427.0
grid_106,0.0,0.0,0.0,0.0,1427.0
grid_107,0.0,0.0,0.0,0.0,1427.0
grid_108,0.0,0.0,0.0,0.0,1427.0
grid_109,0.0,0.0,0.0,0.0,1427.0
grid_110,0.0,0.0,0.0,0.0,1427.0
grid_111,0.0,0.0,0.0,0.0,1427.0
grid_112,0.0,0.0,0.0,0.0,1427.0
grid_113,0.0,0.0,0.0,0.0,1427.0
grid_114,0.0,0.0,0.0,0.0,1427.0
grid_115,0.0,0.0,0.0,0.0,1427.0
grid_116,0.0,0.0,0.0,0.0,1427.0
grid_117,0.0,0.0,0.0,0.0,1427.0
grid_118,0.0,0.0,0.0,0.0,1427.0
grid_119,0.0,0.0,0.0,0.0,1427.0
