original_city,canonical_city,changed,original_bookings,canonical_bookings
Madrid,Madrid,False,61315,61315
Barcelona,Barcelona,False,27987,27987
Sevilla,Sevilla,False,26417,26417
Toledo,Toledo,False,19599,19599
Málaga,Málaga,False,17675,17675
Santo Domingo de la Calzada,Santo Domingo de la Calzada,False,10773,10773
Valencia,Valencia,False,10751,10751
Santiago de Compostela,Santiago de Compostela,False,9533,9533
Tarifa,Tarifa,False,8920,8920
Granada,Granada,False,8287,8287
Segovia,Segovia,False,7214,7214
"Marbella, Málaga","Marbella, Málaga",False,6779,6779
Alicante,Alicante,False,6701,6701
A Coruña,A Coruña,False,6609,6609
Santander,Santander,False,6325,6325
Pedrouzo,Pedrouzo,False,6098,6098
Zaragoza,Zaragoza,False,6082,6082
Valladolid,Valladolid,False,5769,5769
"Sarria, Lugo","Sarria, Lugo",False,5622,5622
Salamanca,Salamanca,False,5616,5616
Redondela ,Redondela ,False,5561,5561
Manises,Manises,False,5501,5501
Córdoba,Córdoba,False,5489,5489
Mazagón,Mazagón,False,5413,5413
Torrevieja,Torrevieja,False,5325,5325
León,León,False,5305,5305
"O Pino, A Coruña","O Pino, A Coruña",False,5236,5236
Caldas de Reis,Caldas de Reis,False,5231,5231
Setenil de las Bodegas,Setenil de las Bodegas,False,5204,5204
VALENCIA,Valencia,True,5178,10751
Redondela (Pontevedra),Redondela (Pontevedra),False,5171,5171
Soutomaior,Soutomaior,False,4997,4997
Miño,Miño,False,4974,4974
Pontevedra,Pontevedra,False,4895,4895
Oviedo,Oviedo,False,4794,4794
MURCIA,MURCIA,False,4577,4577
Sitges,Sitges,False,4574,4574
Puerto de la Cruz,Puerto de la Cruz,False,4537,4537
Nerja,Nerja,False,4525,4525
Jerez de la Frontera,Jerez de la Frontera,False,4517,4517
O Pino,O Pino,False,4209,4209
"Nerja, Málaga","Nerja, Málaga",False,3965,3965
Castro-Urdiales,Castro-Urdiales,False,3920,3920
Valderrobres,Valderrobres,False,3742,3742
Portomarín,Portomarín,False,3691,3691
Cervera,Cervera,False,3682,3682
"Maó, Illes Balears","Maó, Illes Balears",False,3590,3590
València,Valencia,True,3587,10751
Guadalajara,Guadalajara,False,3510,3510
San Sebastián-Donostia,San Sebastián-Donostia,False,3497,3497
Yecla,Yecla,False,3487,3487
Cullera,Cullera,False,3452,3452
"Isla Cristina, Huelva","Isla Cristina, Huelva",False,3286,3286
Burgos,Burgos,False,3283,3283
El Médano,El Médano,False,3281,3281
"Tarifa, Cádiz","Tarifa, Cádiz",False,3262,3262
