city_before,bookings_before,city_after,bookings_after
Madrid,42815,Madrid,47472.0
Barcelona,19453,Barcelona,24010.0
Sevilla,18527,Sevilla,21304.0
Toledo,13902,Toledo,15741.0
Málaga,12400,Málaga,24917.0
Santo Domingo de la Calzada,8140,Santo Domingo de la Calzada,9174.0
Santiago de Compostela,7227,Santiago de Compostela,7787.0
Valencia,5851,Valencia,12226.0
Granada,5758,Granada,9509.0
Tarifa,5721,Tarifa,6342.0
Segovia,5100,Segovia,6260.0
Manises,4953,Manises,
Alicante,4911,Alicante,7008.0
A Coruña,4679,A Coruña,11215.0
Zaragoza,4569,Zaragoza,6803.0
"Sarria, Lugo",4456,"Sarria, Lugo",
Santander,4341,Santander,
Redondela ,4195,Redondela ,
Caldas de Reis,4155,Caldas de Reis,
Setenil de las Bodegas,4125,Setenil de las Bodegas,
