hotel_id,median_price_premium,median_residual_pct,median_revpar,median_peer_revpar,avg_n_peers,n_periods,diagnosis
1067,-0.31345468902904394,4.37811102778903,22.876397260273976,5.792032385018246,128.0,2,UNDERPRICING
1384,-0.298129502012939,0.11575571548987623,4.315205479452055,5.64621202441092,98.125,8,FAIR
1404,1.309993242972288,28.620205911269906,18.622849315068493,1.1751245330012452,1.0,2,UNDERPRICING
1747,-0.10223493066503393,-0.46990759104127267,2.810865504358655,4.930495334524518,24.11111111111111,9,OVERPRICING
1833,1.4360186997560627,-0.0048868084432720504,5.369147260273973,11.129924657534247,7.5,4,FAIR
2016,-0.04993509781815542,1.924571008650251,6.798904109589041,2.4901615419407337,69.25,4,UNDERPRICING
2254,1.211641423878669,16.45029532678475,8.726401826484018,0.512494738329565,19.75,4,UNDERPRICING
2385,0.5613068183135883,3.4721908207335153,28.080636497064575,5.336887859682127,69.0,2,UNDERPRICING
2950,0.3373833956617483,0.704736928730131,8.472703196347032,4.161147031678616,64.2,5,UNDERPRICING
3422,-0.20784265084604717,0.3755239890091162,14.855202739726028,10.270643972325676,9.25,4,UNDERPRICING
3444,-0.07182969127232754,-0.35195294139319994,10.092054794520548,16.309595393685854,8.0,1,OVERPRICING
3532,0.45838906885875363,-0.11085895637681886,2.689027397260274,3.296112379502791,90.75,12,FAIR
3608,-0.015037759629572316,4.410599396680899,24.228605479452057,4.4826776095064815,52.0,2,UNDERPRICING
3790,0.17230988039380096,9.600686816729663,64.12745890410959,5.752111648608658,128.0,2,UNDERPRICING
4019,0.8251457271101655,17.639242688170203,11.662986301369864,1.1657119946541932,32.0,5,UNDERPRICING
4084,0.05721192550206497,-0.48119807955646193,3.5802739726027397,8.845318005648776,1.5,4,OVERPRICING
4527,1.557184945192372,-0.13975852148617213,1.3307866927592955,1.474449138311975,55.0,3,FAIR
4950,0.09971096000474668,-0.43527208720889987,3.392116894977169,5.839456985813423,95.0,11,OVERPRICING
5493,1.1724444444444444,13.12370271175092,6.695890410958904,0.410958904109589,1.0,1,UNDERPRICING
5661,0.06160057290733722,-0.14928229378711427,7.654602739726028,7.513490637428193,6.4,5,FAIR
5671,0.3804983660130718,2.069165853191527,6.613424657534246,1.841095890410959,89.0,1,UNDERPRICING
5703,-0.259864223367873,-0.09415833618465455,0.7945205479452054,1.0734794520547946,2.0,1,FAIR
5708,-0.3308847574446928,0.22483069662252525,1.6010301369863016,1.7009507995970818,73.5,6,UNDERPRICING
5719,0.14359974009096813,-0.49744933131118163,0.2410958904109589,0.4450684931506849,19.0,1,OVERPRICING
5789,-0.3308542401569923,2.2241456877699797,14.699287671232877,5.9127625200075355,82.75,4,UNDERPRICING
5799,0.15941676499936977,10.32110449004364,21.41851369863014,1.80345980299074,89.5,2,UNDERPRICING
5802,-0.5142142760719504,-0.8726273130359871,2.1746575342465753,29.14980821917808,1.0,1,OVERPRICING
5809,-0.5586730056253535,-0.4863079669378522,1.4516986301369863,5.839456985813423,78.72727272727273,11,OVERPRICING
5825,-0.5033875716307299,1.8465136549463221,9.692567123287672,5.747517455039366,47.75,4,UNDERPRICING
5833,0.003291065016788183,19.18212249835189,83.02794520547945,4.115135430027534,25.5,2,UNDERPRICING
5848,-0.2910608626007269,0.0851737917137051,4.710693493150686,4.244911675773672,93.0,6,FAIR
5852,-0.3116927366933061,-0.28895140685518667,1.4762133072407047,3.3038285715018314,115.66666666666667,6,OVERPRICING
5911,-0.1341281673637763,-0.2895093111460999,1.8645136986301372,3.404245788282625,118.75,4,OVERPRICING
5912,0.0036828538417828446,-0.1414974121963424,4.144479452054794,4.751543231265108,64.66666666666667,6,FAIR
5928,0.46319876890262457,2.375560190899777,14.777668493150689,2.1714666650122427,82.75,8,UNDERPRICING
5944,-0.18055517061474663,10.24914213610057,63.29864383561643,6.6161012423155245,29.0,2,UNDERPRICING
5956,-0.14912138749029266,0.5681181534234572,5.642955479452055,5.379190395567186,114.14285714285714,7,UNDERPRICING
5962,-0.3317599428925724,8.373964882003492,51.09293150684931,10.662430790755163,14.5,2,UNDERPRICING
5980,-0.25206756284104287,-0.9140985408289566,0.1780821917808219,2.517900126428069,60.0,1,OVERPRICING
5989,-0.041974594619376054,2.7621450524366455,8.412283757338551,2.016287380945032,33.0,4,UNDERPRICING
6013,-0.15566139746653984,2.5971741315545485,7.8277465753424655,3.967583907806045,45.0,4,UNDERPRICING
6016,0.2594011348825947,4.549445375509281,20.870167808219175,3.350232493337697,78.0,2,UNDERPRICING
6046,0.3665918759386561,1.0126677745696244,11.343353424657534,5.605607616261028,37.0,2,UNDERPRICING
6049,-0.20447568405676225,0.20052264832308697,2.369563600782779,2.833246885340474,126.5,2,UNDERPRICING
6050,0.16822030501205862,-0.8168760579394934,0.3208447488584475,1.8619364646829202,63.25,4,OVERPRICING
6056,0.631136081745973,0.5411118028553218,6.234076103500761,4.311803761122315,72.57142857142857,7,UNDERPRICING
6105,-0.09996445718360027,2.417927082990082,11.27716095890411,4.446475980012904,77.5,4,UNDERPRICING
6118,0.16096147406999517,3.2186279318150297,8.672150684931507,2.3594119002881917,64.75,4,UNDERPRICING
6120,-0.16058431341417143,-0.9354077484343818,0.3895594224361348,6.612052992862126,54.0,3,OVERPRICING
6124,-0.08814589665653495,-0.6550205519671168,0.25205479452054796,4.480389269406393,4.333333333333333,3,OVERPRICING
