hotel_id,median_price_premium,median_occ_residual,median_expected_residual,median_diagnosis_residual,avg_price,avg_occupancy,n_days,diagnosis
307,0.41001879309519446,0.8939567344179382,0.0019219832524800117,0.8920347511654582,3191.8127272727274,1.0,11,EXCEPTIONAL_VALUE
1067,-0.4615931829675961,0.9192942185607376,-0.0021637407408218127,0.9219307465404775,225.67256756756757,1.0,74,UNDERPRICING
1384,-0.5087881293743958,0.06383679674649735,-0.002384969372589676,0.06537469524630565,108.87362421924936,0.25776428,606,FAIR
1404,-0.11715345768183799,0.8321601238565572,-0.0005491625930969002,0.8327405607810858,367.4237837837838,1.0,37,UNDERPRICING
1747,-0.4358267202178652,0.1381618024950818,-0.002042959179794352,0.1417727995579116,674.7939880952381,0.2613095,140,UNDERPRICING
1833,1.278151442829247,0.12585423822969394,0.005991397732544001,0.12065898069288374,871.2192649199418,0.34352255,229,EXCEPTIONAL_VALUE
2016,-0.5117643374430866,0.16376764078776462,-0.0023989204942461693,0.16443381632562726,97.55226666666667,0.40586668,250,UNDERPRICING
2112,1.0213921153646544,0.7460336386324444,0.004787825760684641,0.7394839155158651,1656.5,0.8875,40,EXCEPTIONAL_VALUE
2130,0.0,0.39506627808892514,0.0,0.39506627808892514,896.2233333333334,0.5833333,48,UNDERPRICING
2226,-0.2887739455212226,0.0659708818700226,-0.0013536420680978537,0.06621810425162165,457.7814102564102,0.13192257,52,FAIR
2254,-0.379414245823278,0.20619054900534967,-0.001778522932375368,0.20677966402447667,302.1332102908278,0.40346757,149,UNDERPRICING
2385,0.7645739859078287,0.040978736566393614,0.0035839781515955055,0.03822303483821326,348.22942947281524,0.20474048,301,FAIR
2950,0.22509492092873679,0.20664944125649767,0.001055143509343731,0.2061754145538667,625.8056122733612,0.32880056,239,EXCEPTIONAL_VALUE
3422,-0.541018774303079,0.17466863432830712,-0.002536052105412551,0.17740422608502057,99.79669253510717,0.5063193,451,UNDERPRICING
3444,0.12269467299244419,0.8966232371272591,0.0005751373123164124,0.8954730257849017,1553.7840625,1.0,32,EXCEPTIONAL_VALUE
3532,-0.03138149355052902,0.10976889372872993,-0.0001471022939866148,0.10916014534221716,188.72042574656982,0.27986282,236,UNDERPRICING
3608,-0.42678171350051936,0.2226501761271349,-0.002000560266080971,0.22212849160914774,154.12572158365262,0.38403577,261,UNDERPRICING
3790,0.16895830791106034,0.37281953455981975,0.0007920003756925966,0.3725638500193372,469.81560773480663,0.5524862,181,EXCEPTIONAL_VALUE
4019,1.335301636723999,0.05618361952933103,0.006259292076392276,0.0504492113519108,550.9854365079365,0.125,42,FAIR
4084,0.0,0.17228830241554158,0.0,0.17105798676784262,116.82198795180723,0.3683735,166,UNDERPRICING
4527,1.030144216181712,0.173473624606235,0.004828851663588794,0.1677831087931617,308.5838775510204,0.35782313,49,EXCEPTIONAL_VALUE
4950,-0.22557441340433282,0.06301196878120613,-0.0010573911538988227,0.06208750775245947,414.6981435840603,0.20507562,333,FAIR
5493,0.0,0.8177504196722096,0.0,0.8177504196722096,311.6666666666667,1.0,30,UNDERPRICING
5661,-0.20989618465854873,0.42598449172500463,-0.0009838986857841926,0.42495710570335254,360.40863799283153,0.55376345,93,UNDERPRICING
5671,0.269922308107876,0.10911516558251957,0.00126527409082354,0.110669110564477,167.31972222222223,0.32837304,36,EXCEPTIONAL_VALUE
5681,0.10057737290350274,0.4583412706736296,0.00047146138068380854,0.4587643392157244,1116.9990625,0.625,16,EXCEPTIONAL_VALUE
5699,-0.4426177131839233,0.9441171753678894,-0.0020747922932229917,0.9461919676611125,75.0,1.0,2,UNDERPRICING
5703,-0.5953852211739099,0.9090893092217812,-0.0027908974982146354,0.9118802067199958,290.0,1.0,1,UNDERPRICING
5708,-0.5911453688576144,0.16807235376948199,-0.0027710229820165043,0.17065683499313533,93.51345437616386,0.35540038,179,UNDERPRICING
5719,-0.7067972377137802,0.9376248438326382,-0.003313146803662792,0.940937990636301,88.0,1.0,1,UNDERPRICING
5789,-0.2811757013805341,0.4306453245525322,-0.0013180249250971253,0.43005930619418886,365.8606422018348,0.56880736,109,UNDERPRICING
5799,-0.26454145068427837,0.20547589393099464,-0.0012400510570838735,0.20744118536716794,129.8827318548387,0.43245968,248,UNDERPRICING
5809,-0.6477800572919048,0.09340875642268365,-0.00303650086867244,0.09657536456882185,76.95668596720394,0.2925422,459,FAIR
5825,-0.5393246643168319,0.13029662883710658,-0.002528110881555843,0.13257858732983535,174.76293074324323,0.30152026,296,UNDERPRICING
5833,0.4029973124402132,0.9466896264330449,0.0018890697166769022,0.9432602022836775,1492.1897142857142,1.0,35,EXCEPTIONAL_VALUE
5834,0.14531469916586962,0.1965336244885495,0.0006811697971881228,0.19426306966598697,214.01358888888888,0.3657672,45,EXCEPTIONAL_VALUE
5848,-0.23977803677473103,0.09438431370999274,-0.0011239713368127826,0.09642188494044765,177.3410160875161,0.2627413,222,FAIR
5852,-0.6061071233786439,0.1172642351415571,-0.002841156941974919,0.11948145433092494,81.1018407960199,0.30206114,201,UNDERPRICING
5911,-0.3970899887355034,0.18122227060333998,-0.001861378846359174,0.18115203638717028,120.26629166666666,0.38680556,120,UNDERPRICING
5912,0.5163033439319449,0.36509338665785285,0.0024201973103370315,0.36062323533029783,323.1763220815752,0.55133617,237,EXCEPTIONAL_VALUE
5928,0.46126872737318225,0.1036664578397379,0.002162219839270131,0.10164413109040206,296.6707344812925,0.29538247,448,EXCEPTIONAL_VALUE
5944,-0.4321266545722603,0.9460180497286714,-0.0020256149401553696,0.9486117673394153,608.0001315789474,1.0,76,UNDERPRICING
5956,-0.5243881796654589,0.11094026833700266,-0.0024580953753539155,0.11138293342931858,144.90117076808352,0.31743902,447,UNDERPRICING
5962,-0.4741792040742406,0.9418638307278058,-0.0022227383335899917,0.9437446818878695,518.0255555555555,1.0,72,UNDERPRICING
5970,1.7581054864533467,0.888033503941305,0.008241205910461864,0.8866874713545331,1483.8433333333332,1.0,3,EXCEPTIONAL_VALUE
5980,0.18859512661669456,0.3453211447668013,0.0008840489288803834,0.3444370958379209,130.0,0.5,1,EXCEPTIONAL_VALUE
5989,0.1914090804701272,0.19630373776717724,0.0008972394759251221,0.19454162444488157,215.0546607471718,0.52004737,362,EXCEPTIONAL_VALUE
6013,-0.3794790820473209,0.45604702309957773,-0.0017788268553634431,0.45767375232314217,398.99944444444446,0.53174603,63,UNDERPRICING
6016,-0.06201987135561479,0.22388961933247814,-0.00029072119637887277,0.2229434077793292,202.18728927203065,0.42672414,174,UNDERPRICING
6017,0.3115550648594297,0.7431793765555366,0.0014604296851001238,0.7417189468704364,267.1073333333334,1.0,2,EXCEPTIONAL_VALUE
6046,-0.039253913760310566,0.16308123195173596,-0.0001840046507919342,0.16190244646770124,822.0561904761905,0.36292517,49,UNDERPRICING
6049,-0.21560077500191843,0.08300592653816703,-0.0010106392335026242,0.08449360589491345,118.71520161290321,0.2559524,62,FAIR
6050,-0.4438972685693067,0.4093569891513663,-0.0020807902720052875,0.4111086176200121,124.71757575757577,0.57575756,11,UNDERPRICING
