hotel_id,max_simultaneous_rooms
201,1
307,2
1067,2
1384,39
1404,2
1747,8
1833,6
2016,8
2112,2
2130,2
2226,9
2254,8
2385,35
2950,10
3422,11
3444,2
3532,9
3608,8
3790,4
4019,12
4084,7
4527,8
4950,18
5493,1
5661,4
5671,7
5681,2
5699,2
5703,1
5708,6
5719,1
5789,3
5799,9
5802,3
5809,18
5825,8
5833,2
5834,8
5848,11
5852,8
5911,4
5912,6
5928,15
5944,2
5956,11
5962,2
5970,2
5980,1
5989,14
6013,3
6016,6
6017,8
6046,6
6049,8
6050,3
6056,14
6105,13
6118,10
6120,6
6124,4
6137,10
6206,5
6249,12
6251,23
6257,7
6271,7
6276,29
6283,2
6288,1
6290,23
6291,14
6292,16
6297,11
6298,7
6299,12
6308,12
6318,2
6333,10
6339,2
6342,11
6358,3
6378,9
6383,2
6387,2
6389,16
6400,2
6415,8
6426,39
6443,5
6445,14
6478,12
6483,9
6490,6
6516,6
6530,1
6539,5
6542,8
6545,7
6551,9
6577,1
6579,15
6580,19
6590,2
6597,8
6602,7
6605,10
6612,2
6627,14
6638,4
6639,4
6642,9
6662,16
6684,1
6687,1
6688,12
6704,3
6709,4
6727,11
6729,29
6730,2
6742,2
6786,6
6807,11
6819,6
6826,1
6847,11
6848,10
6857,50
6880,4
6885,5
6896,13
6901,2
6911,27
6922,9
6923,1
6942,1
6943,2
6947,16
6952,5
6961,4
6962,36
6964,5
6990,6
7015,10
7018,7
7029,14
7034,1
7043,25
7057,11
7059,5
7070,8
7076,43
7088,48
7093,20
7097,7
7101,11
7104,3
7107,2
7131,4
7151,13
7157,28
7160,2
7166,11
7169,6
7170,10
7182,12
7195,7
7206,4
7209,3
7219,6
7220,5
7226,17
7229,2
7237,5
7238,6
7240,6
7247,5
7251,1
7254,13
7280,1
7293,9
7301,42
7302,14
7314,26
7319,22
7320,13
7321,3
7323,2
7325,12
7335,9
7342,3
7355,5
7363,7
7372,4
7374,17
7411,7
7417,4
7423,12
7488,7
7492,15
7501,2
7504,13
7520,20
7526,2
7528,1
7529,11
7531,6
7532,2
7542,28
7543,29
7544,11
7546,8
7550,5
7555,18
7563,12
7567,7
7572,9
7586,3
7588,1
7600,16
7604,2
7605,2
7625,9
7626,20
7632,20
7634,19
7635,15
7644,5
7648,9
7653,15
7656,26
7657,9
7659,5
7676,4
7742,12
7761,7
7764,30
7788,15
7790,15
7792,2
7798,7
7806,1
7807,3
7817,6
7837,1
7839,47
7848,6
7862,14
7879,7
7880,7
7883,17
7896,1
7899,13
7907,11
7912,2
7916,8
7920,7
7921,17
7931,6
7932,2
7938,2
7956,23
7958,4
7963,5
7971,8
7981,1
7982,9
7983,2
8001,6
8020,6
8026,7
8028,2
8033,11
8036,23
8040,4
8042,13
8059,1
8076,16
8089,1
8095,4
8102,13
8116,1
8118,7
8189,2
8190,16
8191,11
8211,15
8212,5
8215,4
8216,4
8224,15
8231,10
8270,3
8271,6
8273,8
8275,5
8278,2
8299,3
8301,13
8303,4
8309,33
8318,26
8324,4
8326,7
8330,6
8340,9
8357,14
8359,6
8366,8
8372,2
8379,9
8388,6
8390,9
8404,15
8420,2
8423,9
8432,1
8436,8
8437,1
8476,14
8485,2
8508,11
8521,10
8525,2
8532,7
8538,9
8559,6
8574,7
8583,20
8587,6
8589,17
8594,4
8596,2
8600,23
8603,2
8611,1
8615,7
8630,7
8631,1
8633,25
8638,2
8640,7
8641,3
8658,8
8660,12
8677,5
8686,8
8696,16
8710,8
8712,9
8713,4
8722,8
8733,7
8745,4
8775,14
8783,19
8788,5
8789,11
8797,11
8808,3
8826,11
8827,15
8828,4
8868,12
8872,11
8878,7
8882,4
8883,3
8886,14
8896,20
8901,5
8902,13
8904,8
8911,16
8939,3
8955,7
8959,5
8961,17
8962,26
8970,8
8971,7
8979,5
8981,9
8983,4
8998,18
8999,3
9009,22
9010,9
9013,7
9015,5
9018,5
9024,9
9025,21
9038,2
9041,28
9072,15
9081,12
9086,2
9089,8
9100,7
9106,8
9107,4
9109,4
9114,11
9125,5
9131,30
9143,8
9149,3
9159,9
9215,4
9217,10
9221,22
9223,6
9225,6
9232,4
9237,10
9239,6
9242,9
9250,1
9280,10
9296,9
9298,8
9300,5
9305,3
9311,25
9318,2
9319,8
9332,36
9337,17
9358,30
9374,15
9386,1
9390,1
9410,2
9415,2
9419,2
9421,2
