hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
24285,2024-06-15,urban_fringe,underperforming,RAISE,52.47489007825944,262.0,10.15,13.1,60.0,262.0,889.65,-0.496,Hotel is underpriced vs best peer. Raise to €262.,high,9
7920,2024-06-15,provincial_city,underperforming,INVESTIGATE,113.66703809523808,113.67,45.47,45.47,123.68,111.9,4092.47,-0.976,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,7
8102,2024-06-15,urban_fringe,underperforming,INVESTIGATE,142.5831271502066,142.58,47.29,47.29,113.29,134.28,3686.37,-0.478,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,10
10057,2024-06-15,small_town,underperforming,RAISE,21.977863212545873,149.91,8.47,7.5,52.25,149.91,661.41,-0.675,Hotel is underpriced vs best peer. Raise to €150.,high,9
9787,2024-06-15,major_metro,new_hotel,SET,,117.37,,35.21,117.37,156.68,2014.41,-0.761,New hotel. Start at peer median €117.,low,9
12950,2024-06-15,rural,underperforming,RAISE,61.18512553676077,81.14,126.4,77.08,99.0,81.14,1159.09,-0.322,Hotel is underpriced vs best peer. Raise to €81.,high,9
17964,2024-06-15,major_metro,underperforming,INVESTIGATE,147.15993724173455,147.16,82.59,82.59,130.9,134.28,3686.37,-0.532,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,10
11630,2024-06-15,urban_core,underperforming,RAISE,74.32674742346624,100.97,18.2,15.95,65.75,100.97,1434.36,-0.991,Hotel is underpriced vs best peer. Raise to €101.,high,10
11913,2024-06-15,resort_coastal,on_par,HOLD,66.6073839679863,66.61,165.84,165.84,49.41,152.92,2250.1,-0.24,Hotel is performing on par with peers. Minor adjustments optional.,medium,5
11783,2024-06-15,major_metro,underperforming,LOWER,84.36001121479417,50.87,53.01,37.97,74.06,50.87,443.31,-0.473,Hotel is overpriced vs best peer. Lower to €51.,high,8
23852,2024-06-15,urban_core,underperforming,RAISE,57.333621852623416,126.2,40.19,31.79,110.82,126.2,1840.04,-0.533,Hotel is underpriced vs best peer. Raise to €126.,medium,5
19333,2024-06-15,small_town,underperforming,LOWER,98.84786972342168,79.54,459.95,75.56,81.45,79.54,4215.57,-0.403,Hotel is overpriced vs best peer. Lower to €80.,high,8
10777,2024-06-15,urban_fringe,underperforming,RAISE,122.90891503267974,323.54,6.04,16.18,89.48,323.54,1475.19,-0.496,Hotel is underpriced vs best peer. Raise to €324.,medium,10
6551,2024-06-15,resort_coastal,underperforming,RAISE,63.44544246824603,98.93,75.75,93.98,118.3,98.93,6062.91,-0.24,Hotel is underpriced vs best peer. Raise to €99.,high,8
7657,2024-06-15,resort_coastal,underperforming,RAISE,112.9117736985237,318.18,173.71,276.28,150.0,318.18,3772.71,-0.24,Hotel is underpriced vs best peer. Raise to €318.,medium,7
