hotel_id,median_price_premium,median_occ_residual,median_expected_delta,median_diagnosis_signal,avg_price,avg_occupancy,median_peers,n_days,admin1,room_category,diagnosis
1067,-0.382271406630739,0.9228279883520649,0.15290856265229558,0.7424718671658392,225.67256756756757,1.0,1185.0,74,National,standard,UNDERPRICING
1384,-0.7198649441602817,0.051533437761602796,0.2879459776641127,-0.21297085252468306,109.48228930839943,0.25754556,1189.0,607,National,standard,QUALITY_ISSUES
1404,0.06607146593215553,0.8275617516320969,-0.026428586372862214,0.8286280054917897,367.4237837837838,1.0,1126.0,37,National,standard,EXCEPTIONAL_VALUE
1747,0.46156802891349125,0.1481728353627512,-0.18462721156539652,0.3474415178449028,548.5583333333334,0.26957995,1163.0,123,National,standard,EXCEPTIONAL_VALUE
1833,1.051214513112011,0.13242850015964516,-0.4204858052448044,0.5993540403365096,698.3306181015453,0.32505518,1146.0,151,National,standard,EXCEPTIONAL_VALUE
2016,-0.739372129301197,0.16574430609193852,0.2957488517204788,-0.03942671072882979,97.55226666666667,0.40586668,1160.0,250,National,standard,FAIR
2112,1.1677374241696223,0.699533151841904,-0.4670949696678489,1.0961483721896046,1400.0,0.75,763.5,4,National,standard,EXCEPTIONAL_VALUE
2130,1.0630663225332682,0.38790869602996936,-0.42522652901330726,0.7953166543534753,679.328064516129,0.58064514,1309.0,31,National,standard,EXCEPTIONAL_VALUE
2226,-0.5186627052139193,0.06421135198904436,0.20746508208556774,-0.10152284802750033,213.39083333333332,0.13153723,1455.5,40,National,standard,QUALITY_ISSUES
2254,-0.25071137600406657,0.19202347261602543,0.10028455040162662,0.17846476339331935,298.76856981981985,0.40506756,1155.0,148,National,standard,UNDERPRICING
2385,0.1402466151048067,0.04238448852052927,-0.05609864604192269,0.13570711600266722,461.4258677865391,0.19864585,1163.0,374,National,standard,EXCEPTIONAL_VALUE
2950,0.33878782831587223,0.22675342157461864,-0.1355151313263489,0.4328014694983183,528.8684122383253,0.33800322,1213.0,207,National,standard,EXCEPTIONAL_VALUE
3422,-0.6821431925306318,0.18446621810113362,0.27285727701225276,-0.06466211036609804,99.79669253510717,0.5063193,1151.0,451,National,standard,FAIR
3444,1.026807144718313,0.9096022254058131,-0.4107228578873252,1.3179601161126628,800.318,1.0,1683.0,10,National,standard,EXCEPTIONAL_VALUE
3532,-0.46071745748838044,0.1066770473294806,0.18428698299535218,-0.00878994187380451,199.3179549496147,0.280083,1151.0,241,National,standard,FAIR
3608,-0.658078568856712,0.22654704486371113,0.2632314275426848,0.009507682695868588,180.1689714993804,0.3800496,1151.0,269,National,standard,FAIR
3790,0.4790105893638971,0.38098694581276094,-0.19160423574555885,0.5824198870880363,452.3429190751445,0.5520231,1194.0,173,National,standard,EXCEPTIONAL_VALUE
4019,1.1497669471474992,0.06406281952592935,-0.4599067788589997,0.5785545655498041,806.0928505291006,0.14715607,1174.0,126,National,standard,EXCEPTIONAL_VALUE
