hotel_id,latitude,longitude,city,country
1060,39.749148,-105.053668,,GB
196,46.3554343,6.4270497,Anthy sur Léman,FR
4647,37.6752215,-97.40980599999999,,FR
201,37.0573508,-95.7119039,,ES
1083,45.8319373,4.011057699999999,Saint-Germain-Laval,FR
1360,43.19264,2.3958168,Carcassonne,FR
1155,32.75428,-97.331313,,ES
915,43.7945225,6.733152599999999,Valderoure,FR
372,48.2042079,5.9411847,Vittel,FR
27989,16.2415382,-61.32974699999999,SAINT FRANCOIS,GP
980,15.9771941,-61.6508831,Trois-Rivières,GP
7371,43.551169,7.0189736,Cannes,FR
8589,39.9292298,3.8241513,Cap d'Artrutx,ES
1395,45.8097091,9.709406099999999,,IT
683,43.9441749,4.8000809,Avignon,FR
682,41.51865,9.096293000000001,Figari,FR
540,52.245245,1.453759,Saxmundham,GB
1406,36.0797213,-95.8399228,,FR
1416,36.0797213,-95.8399228,,FR
643,48.4736064,3.2921176,Gouaix,FR
11664,37.3884962,-5.9858721,Sevilla,ES
646,46.846908,-0.462002,bressuire,FR
1432,41.9151258,12.4568656,ROMA,IT
87,48.8854893,2.3954873,Amenitiz,FR
1468,40.744476,-73.988275,,FR
662,46.6506988,-0.6813982000000001,Breuil-Barret,FR
1433,48.723365,0.9257430000000001,Verneuil d'Avre et d'Iton,FR
1183,54.2879536,-0.4084477,Scarborough,GB
1259,44.919027,5.636616999999999,Monestier de Clermont,FR
1260,36.735956,-95.98861,,IT
1330,36.0797213,-95.8399228,,FR
1633,36.111296,-95.903142,,FR
4098,47.4118966,2.4650084,ENNORDRES,FR
1631,37.6752215,-97.40980599999999,,FR
1710,36.7308189,-95.8972288,,IT
1179,43.6597188,3.3350297,CELLES,FR
1738,48.3533371,6.245203,Rugney,FR
1739,50.4041416,5.0775974,Gesves,BE
187,44.873,0.507989,Bergerac,FR
1778,36.111296,-95.903142,,FR
1905,36.7476751,-95.90337559999999,,IT
1981,47.65732089999999,-2.7562426,Vannes / Nantes,FR
1067,43.3655355,-2.5024552,Lekeitio (Bizkaia),ES
1969,46.212843,5.029326600000001,CHAVEYRIAT,FR
2397,48.370965,7.403073999999999,Bernardvillé,FR
2101,30.4658989,-91.035884,,FR
2079,37.0588116,-94.5327514,,FR
2085,50.8479068,4.3549608,Bruxelles,BE
2179,44.0519986,5.047143,Carpentras,FR
2227,47.721564,1.5633333,Avaray,FR
2392,44.433872,7.927078,Cigliè,IT
7277,44.6932085,5.9405589,Saint-Etienne-en-Dévoluy,FR
2410,44.5527634,-0.3419928,BOMMES,FR
2495,36.7125653,14.9318255,Santa Maria del Focallo,IT
2578,47.6665425,5.8755445,Confracourt,FR
2621,49.1203349,-1.0777302,saint lô,FR
3322,-21.3736756,55.594368,Saint-Joseph,RE
2704,46.1752905,6.7072394,Morzine,FR
2733,45.4022326,11.9091247,Padova ,IT
2773,36.7476751,-95.90337559999999,,IT
2748,49.2760387,-0.6983188,Bayeux,FR
16183,45.5666301,5.950432,Barberaz,FR
4986,37.6752215,-97.40980599999999,,FR
2865,46.766337,5.5952402,Domblans,FR
3334,46.577722,12.530106,San Nicolo' di Comelico ,IT
2977,48.8786084,2.7044178,Lagny-sur-Marne,FR
2036,47.3334464,11.1875401,"Seefeld in Tirol, Austria",AT
3061,45.0888865,-0.7159532,Lamarque,FR
3120,14.6072318,-61.0864772,Fort de France,MQ
2993,31.4449387,-9.739989999999999,Ghazoua,MA
4548,37.0573508,-95.7119039,,ES
3202,37.0573508,-95.7119039,,ES
3211,46.227638,2.213749,,FR
3231,37.0573508,-95.7119039,,ES
6712,50.074787,2.687679,Grandcourt,FR
4595,48.5647757,7.7551009,STRASBOURG,FR
14988,45.590888,2.9171777,Tournemire,FR
3273,33.4398881,-86.8647998,,BL
3875,47.68336,-0.5291359999999999,Les Hauts d'Anjou,FR
4207,35.5174913,-86.5804473,,TN
3435,48.3612856,-2.6337388,Moncontour,FR
3461,49.4907958,2.635591900000001,Moyenneville,FR
11563,37.1604827,-8.5932523,Portimão,PT
5463,48.400842,-0.6228296999999999,AMBRIERES-LES-VALLEES,FR
2035,43.8814213,1.3437229,Campsas,FR
3971,49.6883344,0.3993801,MENTHEVILLE,FR
3981,44.3861719,-1.1631779,Biscarrosse,FR
5001,49.6722544,-1.2612593,Barfleur,FR
4073,44.3738009,3.5341136,ISPAGNAC,FR
9072,39.8367501,-0.269792,"Alfondeguilla, Castellón",ES
