city_before,bookings_before,city_after,bookings_after
Madrid,42870,Madrid,47530.0
Barcelona,19494,Barcelona,24074.0
Sevilla,18715,Sevilla,21496.0
Toledo,13908,Toledo,15747.0
Málaga,12421,Málaga,24958.0
Santo Domingo de la Calzada,8170,Santo Domingo de la Calzada,9212.0
Santiago de Compostela,7232,Santiago de Compostela,7792.0
Valencia,5871,Valencia,12247.0
Granada,5762,Granada,9515.0
Tarifa,5722,Tarifa,6343.0
Segovia,5101,Segovia,6261.0
Manises,4953,Manises,
Alicante,4922,Alicante,7021.0
A Coruña,4679,A Coruña,11231.0
Zaragoza,4571,Zaragoza,6806.0
"Sarria, Lugo",4456,"Sarria, Lugo",
Santander,4341,Santander,
Redondela ,4195,Redondela ,
Caldas de Reis,4156,Caldas de Reis,
Setenil de las Bodegas,4125,Setenil de las Bodegas,
