lat_bin,lon_bin,booking_count,total_revenue,arrival_min,arrival_max,centroid_lat,centroid_lon,avg_revenue_per_booking
40.4,-3.8,29386,7791014.4,2023-01-01,2024-12-31,40.449999999999996,-3.75,265.1267406247873
41.3,2.1,16244,8463451.11,2023-01-02,2024-12-31,41.349999999999994,2.15,521.0201372814578
39.8,-4.1,14775,2548708.64,2023-01-01,2024-12-31,39.849999999999994,-4.05,172.50143079526228
37.3,-6.0,13799,4722461.42,2023-01-12,2024-12-31,37.349999999999994,-5.95,342.232148706428
42.2,-8.7,12589,879168.71,2023-01-24,2024-12-27,42.25,-8.649999999999999,69.83626261021526
36.7,-4.5,12272,3440340.42,2023-01-02,2024-12-29,36.75,-4.45,280.34064700130375
40.4,-3.7,11954,2803228.09,2023-01-01,2024-12-31,40.449999999999996,-3.6500000000000004,234.50126233896603
39.4,-0.4,11844,3557121.07,2023-01-01,2024-12-30,39.449999999999996,-0.35000000000000003,300.3310596082404
42.8,-8.6,10702,1236294.85,2023-01-02,2024-12-18,42.849999999999994,-8.549999999999999,115.51998224630911
42.4,-3.0,9174,878012.34,2023-01-02,2024-12-31,42.449999999999996,-2.95,95.70659908436886
36.0,-5.7,8097,1447729.34,2023-01-01,2024-12-22,36.05,-5.65,178.79823885389652
42.9,-8.4,7497,1284861.23,2023-01-17,2024-12-30,42.949999999999996,-8.35,171.38338402027478
36.5,-4.9,5732,2270730.35,2023-01-02,2024-12-30,36.55,-4.8500000000000005,396.14974703419404
36.6,-6.2,5625,1806729.25,2023-01-02,2024-12-30,36.65,-6.15,321.19631111111113
36.7,-3.9,5547,2299853.42,2023-01-06,2024-12-30,36.75,-3.85,414.61211826212366
37.1,-3.6,5415,1267691.69,2023-01-01,2024-12-30,37.15,-3.5500000000000003,234.1074219759926
37.8,-4.8,5267,884704.46,2023-01-08,2024-12-28,37.849999999999994,-4.75,167.9712284032656
38.3,-0.5,5189,1657285.99,2023-01-01,2024-12-31,38.349999999999994,-0.45,319.38446521487765
40.9,-4.2,5098,739104.84,2023-01-01,2024-12-07,40.949999999999996,-4.15,144.97937230286385
37.9,-1.2,5097,449008.71,2023-01-01,2024-11-13,37.949999999999996,-1.15,88.0927427898764
39.4,-0.5,4953,588780.0,2023-01-25,2024-09-27,39.449999999999996,-0.45,118.87341005451242
41.6,-0.9,4717,503921.02,2023-01-01,2024-10-31,41.65,-0.85,106.83082891668434
43.4,-3.9,4687,562828.03,2023-01-02,2024-12-26,43.449999999999996,-3.85,120.08278856411351
39.8,4.2,4559,1923377.78,2023-01-19,2024-12-02,39.849999999999994,4.25,421.88589164290414
36.8,-5.2,4535,569743.9,2023-01-01,2024-12-25,36.849999999999994,-5.15,125.63261300992282
43.3,-2.0,4526,1310784.87,2023-01-01,2024-12-05,43.349999999999994,-1.95,289.6122116659302
38.8,-3.8,4470,828578.31,2023-01-01,2024-11-08,38.849999999999994,-3.75,185.36427516778525
42.7,-7.5,4456,107086.65,2023-04-01,2024-10-28,42.75,-7.45,24.03201301615799
41.6,-4.8,4446,678986.59,2023-07-13,2024-12-31,41.65,-4.75,152.71853126405756
41.4,2.1,4386,3032538.29,2023-01-16,2024-12-28,41.449999999999996,2.15,691.4131988144095
42.6,-8.7,4341,384742.0,2023-07-15,2024-12-17,42.65,-8.649999999999999,88.6298087998157
37.3,-6.1,4305,530910.69,2023-01-12,2024-12-28,37.349999999999994,-6.05,123.32420209059232
41.2,1.8,4142,1174417.65,2023-02-23,2024-12-30,41.25,1.85,283.53878561081603
37.1,-6.9,4093,1209877.04,2023-02-06,2024-09-26,37.15,-6.8500000000000005,295.59663816271683
28.0,-16.6,3882,1818714.76,2023-01-14,2024-12-26,28.05,-16.55,468.49942297784645
40.9,-5.7,3861,780376.3,2023-01-02,2024-12-27,40.949999999999996,-5.65,202.11766381766384
42.3,-8.7,3857,752561.98,2023-01-02,2024-12-31,42.349999999999994,-8.649999999999999,195.1158879958517
42.4,-8.7,3840,371746.08,2023-02-23,2024-12-13,42.449999999999996,-8.649999999999999,96.808875
43.3,-8.3,3755,597960.08,2023-01-02,2024-11-16,43.349999999999994,-8.25,159.2436964047936
41.8,3.1,3679,1890162.42,2023-03-23,2024-10-18,41.849999999999994,3.15,513.7707039956509
42.0,3.1,3598,1793703.27,2023-01-01,2024-12-30,42.05,3.15,498.52786826014454
43.3,-5.9,3506,722312.3,2023-01-03,2024-12-26,43.349999999999994,-5.8500000000000005,206.02176269252712
37.9,-0.7,3416,493467.71,2023-05-25,2024-10-31,37.949999999999996,-0.6499999999999999,144.45776053864168
28.4,-16.6,3407,355024.52,2023-03-10,2024-12-31,28.45,-16.55,104.20443792192545
42.7,-8.7,3330,178207.97,2023-04-28,2024-10-30,42.75,-8.649999999999999,53.515906906906906
41.7,2.9,3280,515235.06,2023-01-02,2024-10-09,41.75,2.9499999999999997,157.08385975609755
43.3,-8.5,3150,504356.14,2023-01-06,2024-11-16,43.349999999999994,-8.45,160.1130603174603
42.5,-5.6,3128,698817.87,2023-01-02,2024-12-24,42.55,-5.55,223.40724744245523
28.1,-15.5,3103,1310098.05,2023-01-04,2024-12-31,28.150000000000002,-15.45,422.20368997744123
42.2,3.1,3078,1968338.63,2023-01-02,2024-10-29,42.25,3.15,639.4862345679012
